STATE,REMARKS,Districts,Languages,
Azad Jammu & Kashmir,Azad Jammu & Kashmir,Sudhnutti,NO,
Azad Jammu & Kashmir,Azad Jammu & Kashmir,Bagh,NO,
Azad Jammu & Kashmir,Azad Jammu & Kashmir,Bhimber,NO,
Azad Jammu & Kashmir,Azad Jammu & Kashmir,Hattian,NO,
Azad Jammu & Kashmir,Azad Jammu & Kashmir,Haveli,NO,
Azad Jammu & Kashmir,Azad Jammu & Kashmir,Mirpur,NO,
Azad Jammu & Kashmir,Azad Jammu & Kashmir,Kotli,NO,
Azad Jammu & Kashmir,Azad Jammu & Kashmir,Muzaffarabad,NO,
Azad Jammu & Kashmir,Azad Jammu & Kashmir,Neelum,NO,
Azad Jammu & Kashmir,Azad Jammu & Kashmir,Poonch,NO,
Balochistan,Balochistan,Killa Abdullah,NO,
Balochistan,Balochistan,Sohbatpur,NO,
Balochistan,Balochistan,Sherani,NO,
Balochistan,Balochistan,Lehri,NO,
Balochistan,Balochistan,Awaran,NO,
Balochistan,Balochistan,Barkhan,NO,
Balochistan,Balochistan,Chaghi,NO,
Balochistan,Balochistan,Dera Bugti,NO,
Balochistan,Balochistan,Kohlu,NO,
Balochistan,Balochistan,Gwadar,NO,
Balochistan,Balochistan,Harnai,NO,
Balochistan,Balochistan,Jaffarabad,NO,
Balochistan,Balochistan,Jhal Magsi,NO,
Balochistan,Balochistan,Kachhi,NO,
Balochistan,Balochistan,Kalat,NO,
Balochistan,Balochistan,Kech,NO,
Balochistan,Balochistan,Kharan,NO,
Balochistan,Balochistan,Loralai,NO,
Balochistan,Balochistan,Khuzdar,NO,
Balochistan,Balochistan,Killa Saifullah,NO,
Balochistan,Balochistan,Lasbela,NO,
Balochistan,Balochistan,Mastung,NO,
Balochistan,Balochistan,Musakhail,NO,
Balochistan,Balochistan,Nasirabad,NO,
Balochistan,Balochistan,Nushki,NO,
Balochistan,Balochistan,Panjgur,NO,
Balochistan,Balochistan,Pishin,NO,
Balochistan,Balochistan,Quetta,NO,
Balochistan,Balochistan,Sibi,NO,
Balochistan,Balochistan,Washuk,NO,
Balochistan,Balochistan,Zhob,NO,
Balochistan,Balochistan,Ziarat,NO,
BIHAR,Bihar,MUNGER,MAGAHI,
BIHAR,Bihar,SHEIKHPURA,MAGAHI,
BIHAR,Bihar,SUPAUL,MAITHILI,
BIHAR,Bihar,PATNA,MAGAHI,
BIHAR,Bihar,PASHCHIM CHAMPARAN,BHOJPURI,
BIHAR,Bihar,SARAN,MAGAHI,
BIHAR,Bihar,SIWAN,BAJJIKA,
BIHAR,Bihar,MADHEPURA,MAITHILI,
BIHAR,Bihar,VAISHALI,MAGAHI,
BIHAR,Bihar,SITAMARHI,MAITHILI,
BIHAR,Bihar,KISHANGANJ,MAITHILI,
BIHAR,Bihar,LAKHISARAI,MAGAHI,
BIHAR,Bihar,PURBI CHAMPARAN,BAJJIKA,
BIHAR,Bihar,NALANDA,MAGAHI,
BIHAR,Bihar,ROHTAS,MAGAHI,
BIHAR,Bihar,PURNIA,MAITHILI,
BIHAR,Bihar,SAMASTIPUR,MAGAHI,
BIHAR,Bihar,SAHARSA,MAITHILI,
BIHAR,Bihar,MADHUBANI,MAITHILI,
BIHAR,Bihar,NAWADA,MAGAHI,
BIHAR,Bihar,SHEOHAR,MAITHILI,
BIHAR,Bihar,MUZAFFARPUR,MAITHILI,
BIHAR,,BEGUSARAI,MAGAHI,
BIHAR,,JAMUI,MAGAHI,
BIHAR,,KHAGARIA,MAGAHI,
BIHAR,,JEHANABAD,MAGAHI,
BIHAR,,BHOJPUR,MAGAHI,
BIHAR,,DARBHANGA,MAITHILI,
BIHAR,,BHAGALPUR,MAGAHI,
BIHAR,,GAYA,MAGAHI,
BIHAR,,GOPALGANJ,BAJJIKA,
BIHAR,,KATIHAR,MAITHILI,
BIHAR,,ARWAL,MAGAHI,
BIHAR,,BANKA,MAGAHI,
BIHAR,,KAIMUR (BHABUA),BHOJPURI,
BIHAR,,ARARIA,MAITHILI,
BIHAR,,BUXAR,MAGAHI,
BIHAR,,AURANGABADA,MAGAHI,
CHANDIGARH,Haryana Delhi & Chandigarh,CHANDIGARH,NO,
CHHATTISGARH,Chhattisgarh,SURAJPUR,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,KOREA,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,RAJNANDGAON,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,KABIRDHAM,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,GARIYABAND,BHATTI,
CHHATTISGARH,Chhattisgarh,SURGUJA,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,MUNGELI,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,DANTEWADA,HALBI,
CHHATTISGARH,Chhattisgarh,MAHASAMUND,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,BASTAR,HALBI,
CHHATTISGARH,Chhattisgarh,DHAMTARI,BHATTI,
CHHATTISGARH,Chhattisgarh,RAIGARH,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,BEMETARA,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,SUKMA,HALBI,
CHHATTISGARH,Chhattisgarh,BALRAMPUR,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,RAIPUR,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,BILASPURA,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,BALODA BAZAR,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,BALOD,BHATTI,
CHHATTISGARH,Chhattisgarh,DURG,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,JASHPUR,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,NARAYANPUR,BHATTI,
CHHATTISGARH,Chhattisgarh,BIJAPUR,HALBI,
CHHATTISGARH,Chhattisgarh,KORBA,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,JANJGIR-CHAMPA,CHHATTISGARHI,
CHHATTISGARH,Chhattisgarh,KONDAGAON,BHATTI,
CHHATTISGARH,Chhattisgarh,KANKER,BHATTI,
CHHATTISGARH,CHHATTISGARH,GAURELLA-PENDRA-MARWAHI,CHHATTISGARHI,
DADRA & NAGAR HAVELI & DAMAN & DIU,,DAMAN,NO,
DADRA & NAGAR HAVELI & DAMAN & DIU,,DADRA AND NAGAR HAVELI,NO,
DADRA & NAGAR HAVELI & DAMAN & DIU,,DIU,NO,
DELHI,Haryana Delhi & Chandigarh,DELHI_TOTAL,NO,
Federally Administered Tribal Areas,Federally Administered Tribal Areas,FR Tank,NO,
Federally Administered Tribal Areas,Federally Administered Tribal Areas,Orakzai Agency,NO,
Federally Administered Tribal Areas,Federally Administered Tribal Areas,FR Peshawar,NO,
Federally Administered Tribal Areas,Federally Administered Tribal Areas,FR DI Khan,NO,
Federally Administered Tribal Areas,Federally Administered Tribal Areas,Khyber Agency,NO,
Federally Administered Tribal Areas,Federally Administered Tribal Areas,Kurram Agency,NO,
Federally Administered Tribal Areas,Federally Administered Tribal Areas,Mohmand Agency,NO,
Federally Administered Tribal Areas,Federally Administered Tribal Areas,Bajaur Agency,NO,
Federally Administered Tribal Areas,Federally Administered Tribal Areas,FR Bannu,NO,
Federally Administered Tribal Areas,Federally Administered Tribal Areas,FR Kohat,NO,
Federally Administered Tribal Areas,Federally Administered Tribal Areas,FR Lakki Marwat,NO,
Federally Administered Tribal Areas,Federally Administered Tribal Areas,North Waziristan Agency,NO,
Federally Administered Tribal Areas,Federally Administered Tribal Areas,South Waziristan Agency,NO,
Gilgit-Baltistan,Gilgit-Baltistan,Astor,NO,
Gilgit-Baltistan,Gilgit-Baltistan,Skardu,BURUSHASKI,
Gilgit-Baltistan,Gilgit-Baltistan,Diamir,NO,
Gilgit-Baltistan,Gilgit-Baltistan,Ghanchi,BURUSHASKI,
Gilgit-Baltistan,Gilgit-Baltistan,Ghizer,KHOWAR,
Gilgit-Baltistan,Gilgit-Baltistan,Gilgit,NO,
Gilgit-Baltistan,Gilgit-Baltistan,Hunza Nagar,BURUSHASKI,
GOA,Konkan & Goa,NORTH GOA,NO,
GOA,Konkan & Goa,SOUTH GOA,NO,
GUJARAT,Gujarat Region,PATAN,GUJARATI,
GUJARAT,Gujarat Region,ARAVALLI,GUJARATI,
GUJARAT,Gujarat Region,BHARUCH,BHILI,
GUJARAT,Gujarat Region,SABAR KANTHA,GUJARATI,
GUJARAT,Gujarat Region,VADODARA,BHILI,
GUJARAT,Gujarat Region,MAHESANA,GUJARATI,
GUJARAT,Gujarat Region,PANCH MAHALS,BHILI,
GUJARAT,Gujarat Region,DANG,BHILI,
GUJARAT,Gujarat Region,ANAND,GUJARATI,
GUJARAT,Gujarat Region,NARMADA,BHILI,
GUJARAT,Gujarat Region,TAPI,BHILI,
GUJARAT,Gujarat Region,VALSAD,BHILI,
GUJARAT,Gujarat Region,MAHISAGAR,BHILI,
GUJARAT,Gujarat Region,KHEDA,GUJARATI,
GUJARAT,Gujarat Region,CHHOTAUDEPUR,BHILI,
GUJARAT,Gujarat Region,SURAT,BHILI,
GUJARAT,Gujarat Region,NAVSARI,BHILI,
GUJARAT,Gujarat Region,DOHAD,BHILI,
GUJARAT,Gujarat Region,GANDHINAGAR,GUJARATI,
GUJARAT,Gujarat Region,BANAS KANTHA,GUJARATI,
GUJARAT,Gujarat Region,AHMADABAD,GUJARATI,
GUJARAT,Saurashtra & Kutch,DEVBHUMI DWARKA,GUJARATI,
GUJARAT,Saurashtra & Kutch,BOTAD,GUJARATI,
GUJARAT,Saurashtra & Kutch,JUNAGADH,GUJARATI,
GUJARAT,Saurashtra & Kutch,SURENDRANAGAR,GUJARATI,
GUJARAT,Saurashtra & Kutch,BHAVNAGAR,GUJARATI,
GUJARAT,Saurashtra & Kutch,RAJKOT,GUJARATI,
GUJARAT,Saurashtra & Kutch,AMRELI,GUJARATI,
GUJARAT,Saurashtra & Kutch,JAMNAGAR,GUJARATI,
GUJARAT,Saurashtra & Kutch,GIR SOMNATH,GUJARATI,
GUJARAT,Saurashtra & Kutch,KACHCHH,KACHCHHI,
GUJARAT,Saurashtra & Kutch,MORBI,GUJARATI,
GUJARAT,Saurashtra & Kutch,PORBANDAR,GUJARATI,
HARYANA,Haryana Delhi & Chandigarh,SONIPAT,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,MAHENDRAGARH,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,FARIDABAD,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,KURUKSHETRA,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,AMBALA,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,PANCHKULA,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,HISAR,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,KARNAL,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,JIND,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,MEWAT,MEWATI,
HARYANA,Haryana Delhi & Chandigarh,GURGAON,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,KAITHAL,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,CHARKI DADRI,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,JHAJJAR,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,YAMUNANAGAR,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,ROHTAK,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,REWARI,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,PANIPAT,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,BHIWANI,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,PALWAL,MEWATI,
HARYANA,Haryana Delhi & Chandigarh,FATEHABAD,HARYANVI,
HARYANA,Haryana Delhi & Chandigarh,SIRSA,HARYANVI,
HIMACHAL PRADESH,Himachal Pradesh,SIRMAUR,SIRMAURI,
HIMACHAL PRADESH,Himachal Pradesh,UNA,MANDEALI,
HIMACHAL PRADESH,Himachal Pradesh,SOLAN,BAGHATI,
HIMACHAL PRADESH,Himachal Pradesh,CHAMBA,CHAMEALI AND CHURAHI,
HIMACHAL PRADESH,Himachal Pradesh,LAHUL AND SPITI,PANGWALI,
HIMACHAL PRADESH,Himachal Pradesh,KULLU,KULUI,
HIMACHAL PRADESH,Himachal Pradesh,KANGRA,KANGRI,
HIMACHAL PRADESH,Himachal Pradesh,MANDI,KIUNTHALI (MAHASUI),
HIMACHAL PRADESH,Himachal Pradesh,BILASPUR,HANDURI,
HIMACHAL PRADESH,Himachal Pradesh,KINNAUR,KOCHI AND SATLEJ GROUP,
HIMACHAL PRADESH,Himachal Pradesh,HAMIRPUR,MANDEALI,
HIMACHAL PRADESH,Himachal Pradesh,SHIMLA,JAUNSARI,
Islamabad Capital Territory,Islamabad Capital Territory,Islamabad,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,GANDERBAL,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,BARAMULLA,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,KATHUA,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,SAMBA,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,KULGAM,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,PULWAMA,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,ANANTNAG,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,BADGAM,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,UDHAMPUR,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,JAMMU,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,REASI,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,DODA,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,BANDIPORA,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,KUPWARA,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,SHOPIAN,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,KISHTWAR,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,POONCH,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,RAMBAN,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,RAJAURI,NO,
JAMMU AND KASHMIR,Jammu & Kashmir,SRINAGAR,NO,
JHARKHAND,Jharkhand,CHATRA,MAGAHI,
JHARKHAND,Jharkhand,DUMKA,ANGIKA,
JHARKHAND,Jharkhand,JAMTARA,ANGIKA,
JHARKHAND,Jharkhand,SIMDEGA,SADANI,
JHARKHAND,Jharkhand,RAMGARH,ANGIKA,
JHARKHAND,Jharkhand,PAKUR,ANGIKA,
JHARKHAND,Jharkhand,KODERMA,MAGAHI,
JHARKHAND,Jharkhand,DEOGHAR,MAGAHI,
JHARKHAND,Jharkhand,SARAIKELA KHARSAWAN,SADANI,
JHARKHAND,Jharkhand,PALAMU,MAGAHI,
JHARKHAND,Jharkhand,HAZARIBAGH,MAGAHI,
JHARKHAND,Jharkhand,GARHWA,BHOJPURI,
JHARKHAND,Jharkhand,WEST SINGHBHUM,SADANI,
JHARKHAND,Jharkhand,GODDA,ANGIKA,
JHARKHAND,Jharkhand,LATEHAR,MAGAHI,
JHARKHAND,Jharkhand,LOHARDAGA,SADANI,
JHARKHAND,Jharkhand,GUMLA,SADANI,
JHARKHAND,Jharkhand,BOKARO,ANGIKA,
JHARKHAND,Jharkhand,EAST SINGHBUM,SADANI,
JHARKHAND,Jharkhand,RANCHI,SADANI,
JHARKHAND,Jharkhand,KHUNTI,SADANI,
JHARKHAND,Jharkhand,DHANBAD,ANGIKA,
JHARKHAND,Jharkhand,GIRIDIH,MAGAHI,
JHARKHAND,Jharkhand,SAHEBGANJ,ANGIKA,
KARNATAKA,Coastal Karnataka,UTTARA KANNADA,DRAVIDIAN,
KARNATAKA,Coastal Karnataka,UDUPI,DRAVIDIAN,
KARNATAKA,Coastal Karnataka,DAKSHINA KANNADA,DRAVIDIAN,
KARNATAKA,North Interior Karnataka,VIJAYAPURA,DRAVIDIAN,
KARNATAKA,North Interior Karnataka,BIDAR,DRAVIDIAN,
KARNATAKA,North Interior Karnataka,GADAG,DRAVIDIAN,
KARNATAKA,North Interior Karnataka,KALABURAGI,DRAVIDIAN,
KARNATAKA,North Interior Karnataka,KOPPAL,DRAVIDIAN,
KARNATAKA,North Interior Karnataka,YADAGIRI,DRAVIDIAN,
KARNATAKA,North Interior Karnataka,BALLARI,DRAVIDIAN,
KARNATAKA,North Interior Karnataka,RAICHUR,DRAVIDIAN,
KARNATAKA,North Interior Karnataka,BAGALKOTE,DRAVIDIAN,
KARNATAKA,North Interior Karnataka,DHARWAD,DRAVIDIAN,
KARNATAKA,North Interior Karnataka,BELAGAVI,DRAVIDIAN,
KARNATAKA,North Interior Karnataka,HAVERI,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,CHIKKABALLAPURA,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,DAVANGERE,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,RAMANAGARA,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,BANGALORE RURAL,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,MANDYA,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,MYSURU,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,CHITRADURGA,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,CHAMARAJANAGARA,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,HASSAN,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,BENGALURU URBAN,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,TUMAKURU,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,CHIKKAMAGALURU,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,KOLAR,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,SHIVAMOGGA,DRAVIDIAN,
KARNATAKA,South Interior Karnataka,KODAGU,DRAVIDIAN,
KERALA,Kerala,ALAPPUZHA,DRAVIDIAN,
KERALA,Kerala,THIRUVANANTHAPURAM,DRAVIDIAN,
KERALA,Kerala,WAYANAD,DRAVIDIAN,
KERALA,Kerala,THRISSUR,DRAVIDIAN,
KERALA,Kerala,IDUKKI,DRAVIDIAN,
KERALA,Kerala,PALAKKAD,DRAVIDIAN,
KERALA,Kerala,KOLLAM,DRAVIDIAN,
KERALA,Kerala,KANNUR,DRAVIDIAN,
KERALA,Kerala,PATHANAMTHITTA,DRAVIDIAN,
KERALA,Kerala,KASARAGOD,DRAVIDIAN,
KERALA,Kerala,MALAPPURAM,DRAVIDIAN,
KERALA,Kerala,KOTTAYAM,DRAVIDIAN,
KERALA,Kerala,ERNAKULAM,DRAVIDIAN,
KERALA,Kerala,KOZHIKODE,DRAVIDIAN,
KHYBER PAKHTUNKHWA,KHYBER PAKHTUNKHWA,BANNU,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Hangu,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Charsadda,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Mardan,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Peshawar,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Abbottabad,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Batagram,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Nowshera,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Buner,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Chitral,KHOWAR,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Dera Ismail Khan,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Haripur,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Karak,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Kohat,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Kohistan,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Lakki Marwat,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Lower Dir,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Malakand,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Mansehra,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Shangla,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Swabi,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Swat,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Tank,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Tor Ghar,NO,
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,Upper Dir,NO,
LADAKH,,LEH LADAKH,BURUSHASKI,
LADAKH,,KARGIL,NO,
MADHYA PRADESH,East Madhya Pradesh,UMARIA,BAGHELI,
MADHYA PRADESH,East Madhya Pradesh,SHEOPUR,NO,
MADHYA PRADESH,East Madhya Pradesh,NARSINGHPUR,NO,
MADHYA PRADESH,East Madhya Pradesh,KATNI,BAGHELI,
MADHYA PRADESH,East Madhya Pradesh,NEEMUCH,NO,
MADHYA PRADESH,East Madhya Pradesh,BHIND,BUNDELI,
MADHYA PRADESH,East Madhya Pradesh,REWA,NO,
MADHYA PRADESH,East Madhya Pradesh,MANDLA,BAGHELI,
MADHYA PRADESH,East Madhya Pradesh,SHIVPURI,BUNDELI,
MADHYA PRADESH,East Madhya Pradesh,CHHATARPUR,NO,
MADHYA PRADESH,East Madhya Pradesh,SEONI,BAGHELI,
MADHYA PRADESH,East Madhya Pradesh,SEHORE,BUNDELI,
MADHYA PRADESH,East Madhya Pradesh,ANUPPUR,BAGHELI,
MADHYA PRADESH,East Madhya Pradesh,BALAGHAT,BAGHELI,
MADHYA PRADESH,East Madhya Pradesh,BETUL,NO,
MADHYA PRADESH,East Madhya Pradesh,GWALIOR,BUNDELI,
MADHYA PRADESH,East Madhya Pradesh,VIDISHA,BUNDELI,
MADHYA PRADESH,East Madhya Pradesh,ASHOKNAGAR,BUNDELI,
MADHYA PRADESH,East Madhya Pradesh,CHHINDWARA,BAGHELI,
MADHYA PRADESH,East Madhya Pradesh,MANDSAUR,NO,
MADHYA PRADESH,East Madhya Pradesh,JABALPUR,BAGHELI,
MADHYA PRADESH,East Madhya Pradesh,PANNA,NO,
MADHYA PRADESH,East Madhya Pradesh,SINGRAULI,BAGHELI,
MADHYA PRADESH,East Madhya Pradesh,SAGAR,NO,
MADHYA PRADESH,East Madhya Pradesh,TIKAMGARH,BUNDELI,
